      Rhob                Epsilon              Pressure               SoundV
0.5180000000E+00      0.5444687515E+03      0.1120913271E+03      0.4589167532E+00
0.5200000000E+00      0.5470059793E+03      0.1132576498E+03      0.4604058897E+00
0.5220000000E+00      0.5495477042E+03      0.1144298138E+03      0.4618866201E+00
0.5240000000E+00      0.5520939313E+03      0.1156078134E+03      0.4633590246E+00
0.5260000000E+00      0.5546446657E+03      0.1167916433E+03      0.4648231828E+00
0.5280000000E+00      0.5571999125E+03      0.1179812980E+03      0.4662791733E+00
0.5300000000E+00      0.5597596766E+03      0.1191767722E+03      0.4677270738E+00
0.5320000000E+00      0.5623239628E+03      0.1203780607E+03      0.4691669616E+00
0.5340000000E+00      0.5648927761E+03      0.1215851584E+03      0.4705989126E+00
0.5360000000E+00      0.5674661212E+03      0.1227980600E+03      0.4720230057E+00
0.5380000000E+00      0.5700440029E+03      0.1240167608E+03      0.4734393085E+00
0.5400000000E+00      0.5726264258E+03      0.1252412558E+03      0.4748478982E+00
0.5420000000E+00      0.5752133947E+03      0.1264715401E+03      0.4762488475E+00
0.5440000000E+00      0.5778049140E+03      0.1277076090E+03      0.4776422285E+00
0.5460000000E+00      0.5804009882E+03      0.1289494578E+03      0.4790281124E+00
0.5480000000E+00      0.5830016220E+03      0.1301970820E+03      0.4804065694E+00
0.5500000000E+00      0.5856068197E+03      0.1314504769E+03      0.4817776691E+00
0.5520000000E+00      0.5882165856E+03      0.1327096383E+03      0.4831414802E+00
0.5540000000E+00      0.5908309242E+03      0.1339745616E+03      0.4844980704E+00
0.5560000000E+00      0.5934498396E+03      0.1352452426E+03      0.4858475069E+00
0.5580000000E+00      0.5960733362E+03      0.1365216771E+03      0.4871898558E+00
0.5600000000E+00      0.5987014182E+03      0.1378038608E+03      0.4885251825E+00
0.5620000000E+00      0.6013340896E+03      0.1390917898E+03      0.4898535516E+00
0.5640000000E+00      0.6039713546E+03      0.1403854599E+03      0.4911750269E+00
0.5660000000E+00      0.6066132173E+03      0.1416848673E+03      0.4924896713E+00
0.5680000000E+00      0.6092596816E+03      0.1429900079E+03      0.4937975471E+00
0.5700000000E+00      0.6119107516E+03      0.1443008781E+03      0.4950987156E+00
0.5720000000E+00      0.6145664312E+03      0.1456174740E+03      0.4963932375E+00
0.5740000000E+00      0.6172267243E+03      0.1469397920E+03      0.4976811725E+00
0.5760000000E+00      0.6198916347E+03      0.1482678284E+03      0.4989625798E+00
0.5780000000E+00      0.6225611663E+03      0.1496015796E+03      0.5002375176E+00
0.5800000000E+00      0.6252353228E+03      0.1509410421E+03      0.5015060435E+00
0.5820000000E+00      0.6279141080E+03      0.1522862124E+03      0.5027682144E+00
0.5840000000E+00      0.6305975255E+03      0.1536370872E+03      0.5040240861E+00
0.5860000000E+00      0.6332855791E+03      0.1549936631E+03      0.5052737142E+00
0.5880000000E+00      0.6359782724E+03      0.1563559369E+03      0.5065171531E+00
0.5900000000E+00      0.6386756090E+03      0.1577239052E+03      0.5077544568E+00
0.5920000000E+00      0.6413775923E+03      0.1590975649E+03      0.5089856784E+00
0.5940000000E+00      0.6440842261E+03      0.1604769130E+03      0.5102108704E+00
